vehicle_type,entry_hour,day_type,visit_purpose,stay_duration
Sedan,21,Weekend,Quick_Pickup,0.43
Hatchback,8,Weekend,Quick_Pickup,0.2
Hatchback,13,Weekend,Shopping,1.95
SUV,8,Weekend,Shopping,2.36
Sedan,17,Weekend,Shopping,2.39
Hatchback,18,Weekday,Dining,1.37
Sedan,17,Weekday,Dining,1.01
SUV,10,Weekend,Dining,1.32
Hatchback,12,Weekend,Movies,2.84
Sedan,10,Weekday,Shopping,1.13
Hatchback,11,Weekday,Movies,3.47
SUV,19,Weekend,Shopping,1.8
Hatchback,8,Weekend,Movies,2.53
Sedan,19,Weekday,Quick_Pickup,0.16
SUV,8,Weekend,Office_Work,5.79
Hatchback,10,Weekday,Shopping,2.97
SUV,11,Weekday,Movies,3.47
Hatchback,22,Weekday,Quick_Pickup,0.23
SUV,9,Weekday,Quick_Pickup,0.33
Hatchback,14,Weekend,Office_Work,3.66
Hatchback,16,Weekend,Grocery,0.62
SUV,13,Weekend,Dining,1.68
SUV,11,Weekend,Movies,3.02
SUV,22,Weekend,Movies,3.57
Hatchback,16,Weekday,Shopping,1.31
Sedan,9,Weekday,Movies,3.02
SUV,15,Weekend,Quick_Pickup,0.21
Hatchback,14,Weekday,Quick_Pickup,0.34
Sedan,18,Weekday,Quick_Pickup,0.35
Sedan,10,Weekend,Dining,1.02
Sedan,18,Weekday,Quick_Pickup,0.12
Sedan,9,Weekend,Grocery,1.41
Sedan,8,Weekend,Dining,1.86
Hatchback,22,Weekday,Movies,3.04
Hatchback,9,Weekday,Office_Work,3.74
Hatchback,22,Weekend,Dining,1.62
Hatchback,19,Weekday,Dining,1.77
Sedan,16,Weekend,Grocery,0.93
Hatchback,21,Weekend,Office_Work,4.66
Hatchback,16,Weekday,Dining,1.96
Hatchback,13,Weekday,Quick_Pickup,0.34
SUV,20,Weekday,Grocery,0.79
Sedan,21,Weekend,Shopping,1.82
Sedan,15,Weekend,Dining,1.52
SUV,12,Weekday,Office_Work,5.45
SUV,21,Weekend,Dining,1.24
Sedan,17,Weekday,Office_Work,3.87
Hatchback,21,Weekend,Movies,2.82
SUV,17,Weekend,Grocery,0.98
Hatchback,8,Weekday,Shopping,1.15
Hatchback,20,Weekend,Shopping,1.81
SUV,12,Weekend,Dining,1.25
Hatchback,13,Weekday,Movies,3.59
Sedan,8,Weekend,Office_Work,3.2
Sedan,16,Weekend,Movies,2.84
Hatchback,15,Weekday,Office_Work,3.34
Hatchback,12,Weekday,Shopping,1.7
Sedan,10,Weekday,Movies,3.57
SUV,13,Weekend,Quick_Pickup,0.22
Hatchback,17,Weekday,Office_Work,5.46
Sedan,20,Weekday,Dining,1.51
Hatchback,14,Weekday,Shopping,1.91
Sedan,12,Weekend,Office_Work,3.12
SUV,9,Weekend,Office_Work,4.17
Hatchback,18,Weekday,Grocery,0.7
Hatchback,21,Weekend,Office_Work,5.33
SUV,11,Weekday,Movies,3.78
Hatchback,15,Weekend,Quick_Pickup,0.37
Hatchback,17,Weekday,Grocery,1.16
Hatchback,11,Weekday,Office_Work,5.84
Sedan,14,Weekend,Office_Work,4.67
SUV,13,Weekend,Office_Work,4.37
Hatchback,9,Weekday,Grocery,1.31
SUV,17,Weekday,Shopping,1.24
Sedan,21,Weekend,Office_Work,5.27
SUV,21,Weekday,Office_Work,3.22
Sedan,16,Weekend,Dining,1.44
Sedan,20,Weekend,Office_Work,3.59
Hatchback,21,Weekend,Quick_Pickup,0.14
Sedan,21,Weekday,Movies,3.44
Sedan,12,Weekday,Quick_Pickup,0.3
Hatchback,10,Weekend,Quick_Pickup,0.5
Sedan,13,Weekday,Dining,1.08
Hatchback,16,Weekend,Shopping,1.63
Sedan,13,Weekend,Dining,1.77
Hatchback,20,Weekend,Dining,1.03
SUV,13,Weekday,Office_Work,3.57
Hatchback,9,Weekend,Grocery,1.03
SUV,9,Weekend,Shopping,2.88
Hatchback,18,Weekend,Movies,3.76
SUV,16,Weekday,Quick_Pickup,0.11
Sedan,14,Weekend,Dining,1.09
Sedan,12,Weekend,Quick_Pickup,0.47
Sedan,16,Weekend,Office_Work,5.24
SUV,19,Weekend,Movies,2.58
Hatchback,9,Weekend,Office_Work,3.03
SUV,11,Weekday,Quick_Pickup,0.29
SUV,17,Weekday,Movies,3.53
SUV,19,Weekday,Movies,2.56
SUV,18,Weekday,Quick_Pickup,0.13
SUV,21,Weekend,Office_Work,4.86
Sedan,10,Weekend,Quick_Pickup,0.25
SUV,10,Weekday,Office_Work,3.5
SUV,15,Weekday,Quick_Pickup,0.26
Sedan,15,Weekday,Movies,3.79
Hatchback,10,Weekday,Quick_Pickup,0.32
SUV,9,Weekday,Shopping,1.7
SUV,18,Weekend,Movies,3.21
Hatchback,18,Weekday,Dining,1.03
Sedan,14,Weekend,Grocery,0.6
SUV,21,Weekday,Shopping,1.6
SUV,15,Weekend,Office_Work,5.44
Hatchback,18,Weekend,Quick_Pickup,0.18
Hatchback,12,Weekday,Grocery,1.44
Hatchback,10,Weekend,Office_Work,5.13
Sedan,22,Weekday,Movies,3.02
Sedan,16,Weekend,Office_Work,4.22
Hatchback,13,Weekday,Office_Work,4.51
Sedan,14,Weekday,Grocery,1.09
SUV,15,Weekday,Grocery,0.94
SUV,19,Weekend,Office_Work,5.37
SUV,10,Weekend,Grocery,1.38
Hatchback,19,Weekday,Dining,1.14
SUV,18,Weekday,Office_Work,3.92
Hatchback,16,Weekend,Grocery,1.35
SUV,14,Weekend,Grocery,0.98
SUV,19,Weekday,Shopping,2.53
Sedan,11,Weekend,Office_Work,3.15
Sedan,13,Weekday,Movies,3.96
Hatchback,21,Weekend,Movies,3.44
Sedan,10,Weekend,Grocery,0.83
Hatchback,13,Weekday,Shopping,1.58
Hatchback,22,Weekend,Shopping,1.5
Sedan,9,Weekend,Dining,1.21
Sedan,17,Weekend,Office_Work,3.46
Hatchback,12,Weekday,Office_Work,4.77
SUV,11,Weekday,Movies,2.56
SUV,15,Weekend,Office_Work,5.64
SUV,11,Weekday,Quick_Pickup,0.44
Hatchback,8,Weekday,Office_Work,5.1
Sedan,17,Weekday,Movies,3.14
Sedan,18,Weekday,Movies,3.88
SUV,11,Weekend,Quick_Pickup,0.46
Hatchback,13,Weekend,Office_Work,5.03
Sedan,15,Weekday,Grocery,1.42
SUV,22,Weekend,Grocery,0.78
Hatchback,18,Weekday,Office_Work,3.39
Hatchback,14,Weekday,Grocery,0.76
SUV,15,Weekday,Dining,1.67
Sedan,9,Weekend,Movies,3.2
SUV,16,Weekday,Office_Work,3.63
Sedan,21,Weekday,Office_Work,4.19
